"Гендер","Возраст","Местный","Символ города","Слава Кургана и области","Регион","Сибирь или Урал","Другие города","Казахстан","Когда был(а) в Казахстане?"
"Ж","42","Да","2 холма","центр Илизарова","Зауралье","Урал","Тюмень, Екатеринбург","Да",""
"Ж","55","Да","орел","киллер Солоник","","Урал","Екатеринбург, Москва, Челябинск","",""
"М","42","Да","2 холма","СХ, Витебский, центр Илизарова","Зауралье","между","Челябинск","Да","6-25 лет"
"Ж","42","Да","куница","центр Илизарова","Зауралье","Урал","Челябинск, Екатеринбург","",""
"М","42","Нет","куница","центр Илизарова","Зауралье","Урал","Екатеринбург, Тюмень, Москва, Санкт-Петербург, Казань","",""
"Ж","42","Да","куница","Фадеев","","Урал","Екатеринбург, Челябинск, Тюмень","",""
"Ж","42","Область","памятник Красину","СХ, медицина","Курганская область","Зауралье","Астана","Да","Менее года"
"М","42","Область","2 холма, площадь","БМП, автобусы, таблетки","большая деревня","Зауралье","Оренбург","Да","6-25 лет"
"Ж","25","Да","природа","КМЗ","сельскохозяйственный","Зауралье","Москва, Челябинск, Петропавловск","Да","6-25 лет"
"М","50","Область","памятник Красину","СХ, медицина","Курганская область","Зауралье","Астана","Да","Менее года"
"Ж","30","Область","2 холма, площадь","БТР, БМП, автобусы, таблетки","Большая деревня","Зауралье","Оренбург","Да","1-5 лет"
"Ж","30","Да","природа","КМЗ","Зауралье","Зауралье","Москва, Челябинск","Да","6-25 лет"
"Ж","50","Область","2 холма, площадь","природа, СХ","Зауралье","Урал","Шадринск, Шумиха","Да","6-25 лет"
"М","20","Да","уран, СХ","добыча урана, СХ, Фадеев","Зауралье","Урал","Тюмень","Нет",""
"Ж","50","Да","2 холма","центр Илизарова","45","Зауралье","Тюмень, Москва, Санкт-Петербург","Нет",""
"Ж","40","Да","2 холма","заводы, СХ","Зауралье","Урал","Тюмень, Петропавловск","Да","6-25 лет"
"М","40","Да","река Тобол","СХ, оборонка","затрудняется","Урал","Казань","Нет",""
"Ж","60","Да","2 холма","хорошие люди","Зауралье","Сибирь","Шадринск, Петропавловск","Да","6-25 лет"
"М","40","Да","2 холма","пельмени","затрудняется","Зауралье","Екатеринбург, Челябинск, Казань","Нет",""
"Ж","30","Нет","2 холма","Мальцев, БМП, Илизаров","Зауралье","Сибирь","Тюмень, Челябинск","Да","6-25 лет"
"М","40","Да","2 холма","Илизаров, Фадеев, майор Сергеев, Мальцев, БМП, Курганприбор, электроника","Зауралье","Сибирь","Уральские города","Да","6-25 лет"
"М","40","Нет","КМЗ","СХ","Зауралье","Зауралье","Шадринск, Уфа","Нет",""
"Ж","80","Да","2 холма","Илизаров, танки","затрудняется","Сибирь","Рудный","Да","Во время СССР"
"Ж","60","Да","2 холма","Шадринские гуси, Илизаров, оборонка, Мальцев","Западная Сибирь","Сибирь","Санкт-Петербург, Волгоград, Самара, Екатеринбург, Вологда","Нет",""
"М","40","Да","2 холма","СХ","дыра","Сибирь","Дальний Восток, Челябинск, Пенза, Елец","Да","6-25 лет"
"Ж","30","Да","","Илизаров","промышленный","Урал","Тюмень, Москва","Нет",""
"М","40","Да","2 холма","Илизаров","затрудняется","Урал","многие","Да","6-25 лет"
"","","Да","завод","природа","Зауралье","Урал","Санкт-Петербург, Тюмень","Нет",""
"","","Да","плохое жилье","ничем","затрудняется","Сибирь","Нет","Нет",""
"","","Да","филармония","Илизаров","Зауралье","Урал","Тюмень, Екатеринбург, Челябинск","Нет",""
"","","Да","елка","центр Илизарова","Зауралье","Урал","Екатеринбург","Нет","В 90-е"
"","","Да","куница","пиво, Илизаров","Зауралье","Урал","Москва","Да","6-25 лет"
"","","Да","2 холма","Илизаров","Зауралье","Урал","Тюмень","Нет",""
"","","Да","памятник Ленину","танки","Зауралье","Урал","Тюмень, Челябинск","Нет",""
"","","Да","площадь","центр Илизарова","затрудняется","Урал","Нет","Нет",""
"","","Да","куница","Илизаров","Зауралье","Урал","Шадринск, Тюмень","Нет",""
"","","Нет","Царево городище, 2 холма, возвышенность","Илизаров","Зауралье","Урал","Тюмень, Москва, Санкт-Петербург","Нет",""
"","","Нет","куница","Илизаров","Зауралье","Урал","Тюмень, Екатеринбург, Самара","Нет",""
"","","Да","памятники","киллер Солоник, Илизаров","Зауралье","Урал","Нет","Да","1-5 лет"
"","","Да","2 холма","краеведческий музей, Невежин, шоссе Тюнина, центр Илизарова","Зауралье","Урал","Екатеринбург, Березники, Алматы, Астана, Караганда","Да","6-25 лет"
"","","Да","2 холма","Илизаров, оборонка","Зауралье","Урал","Санкт-Петербург","Нет",""
"","","Да","2 холма","центр Илизарова","Зауралье","Урал","Нет","Нет","Менее месяца"
"","","Да","2 холма","СХ","Зауралье","Урал","Нет","Да","6-25 лет"
"","","Да","герб, 2 холма","центр Илизарова, СХ, танки, КМЗ","Зауралье","Урал","Сочи, Санкт-Петербург, Кемер","Да",""
"","","Да","2 холма","промышленность","Урал","Урал","Нет","Нет",""
"","","Да","памятник Ленину","заводы, КМЗ, Илизаров","Зауралье","Урал","Казань, Тюмень","Нет",""
"","","Да","2 холма","масло, заводы","Сибирь","Сибирь","Екатеринбург, Тюмень","Нет",""
