Возраст;Место опроса;Местный;Символ города;Слава Кургана и области;Регион;Сибирь или Урал;Другие города;Казахстан;Когда был(а) в Казахстане?
55;Городской сад;Да;2 холма, куница;КМЗ, КГУ, Кургансельмаш, центр Илизарова;Зауралье;между;;Да;Во время СССР
42;пересеч ул Ленина ул Карла Маркса;Нет;набережная;заводы;;Урал;Тюмень, Судак, Анапа, Геленджик;;
42;пересеч ул Ленина ул Карла Маркса;Да;2 холма;центр Илизарова;Зауралье;Урал;Тюмень, Екатеринбург;Да;
55;пересеч ул Ленина ул Карла Маркса;Да;орел;киллер Солоник;;Урал;Екатеринбург, Москва, Челябинск;;
42;пересеч ул Ленина ул Карла Маркса;Да;2 холма;СХ, Витебский, центр Илизарова;Зауралье;между;Челябинск;Да;6-25 лет
42;у филармонии;Да;куница;центр Илизарова;Зауралье;Урал;Челябинск, Екатеринбург;;
42;у филармонии;Нет;куница;центр Илизарова;Зауралье;Урал;Екатеринбург, Тюмень, Москва, Санкт-Петербург, Казань;;
42;у филармонии;Да;куница;Фадеев;;Урал;Екатеринбург, Челябинск, Тюмень;;
42;Городской сад;Область;памятник Красину;СХ, медицина;Курганская область;Зауралье;Астана;Да;Менее года
42;Городской сад;Область;2 холма, площадь;БМП, автобусы, таблетки;большая деревня;Зауралье;Оренбург;Да;6-25 лет
25;Городской сад;Да;природа;КМЗ;сельскохозяйственный;Зауралье;Москва, Челябинск, Петропавловск;Петропавловск;6-25 лет
50;Городской сад;Область;памятник Красину;СХ, медицина;Курганская область;Зауралье;Астана;Да;Менее года
30;Городской сад;Область;2 холма, площадь;БТР, БМП, автобусы, таблетки;Большая деревня;Зауралье;Оренбург;Да;1-5 лет
30;Городской сад ;Да;природа;КМЗ;Зауралье;Зауралье;Москва, Челябинск;Да;6-25 лет
50;Курган;Область;2 холма, площадь;природа, СХ;Зауралье;Урал;Шадринск, Шумиха;Да;6-25 лет
20;Курган;Да;уран, СХ;добыча урана, СХ, Фадеев;Зауралье;Урал;Тюмень;Нет;
50;Курган;Да;2 холма;центр Илизарова;45;Зауралье;Тюмень, Москва, Санкт-Петербург;Нет;
40;Курган;Да;2 холма;заводы, СХ;Зауралье;Урал;Тюмень, Петропавловск;Да;6-25 лет
40;Курган;Да;река Тобол;СХ, оборонка;затрудняется;Урал;Казань;Нет;
60;Курган;Да;2 холма;хорошие люди;Зауралье;Сибирь;Шадринск, Петропавловск;Да;6-25 лет
40;Курган;Да;2 холма;пельмени;затрудняется;Зауралье;Екатеринбург, Челябинск, Казань;Нет;
30;Курган;Нет;2 холма;Мальцев, БМП, Илизаров;Зауралье;Сибирь;Тюмень, Челябинск;Да;6-25 лет
40;Курган;Да;2 холма;Илизаров, Фадеев, майор Сергеев, Мальцев, БМП, Курганприбор, электроника;Зауралье;Сибирь;Уральские города;Да;6-25 лет
40;Курган;Нет;КМЗ;СХ;Зауралье;Зауралье;Шадринск, Уфа;Нет;
80;Курган;Да;2 холма;Илизаров, танки;затрудняется;Сибирь;Рудный;Да;Во время СССР
60;Курган;Да;2 холма;Шадринские гуси, Илизаров, оборонка, Мальцев;Западная Сибирь;Сибирь;Санкт-Петербург, Волгоград, Самара, Екатеринбург, Вологда;Нет;
40;Курган;Да;2 холма;СХ;дыра;Сибирь;Дальний Восток, Челябинск, Пенза, Елец;Да;6-25 лет
30;Курган;Да;;Илизаров;промышленный;Урал;Тюмень, Москва;Нет;
40;Курган;Да;2 холма;Илизаров;затрудняется;Урал;многие;Да;6-25 лет
;Курган;Да;завод;природа;Зауралье;Урал;Санкт-Петербург, Тюмень;Нет;
;Курган;Да;плохое жилье;ничем;затрудняется;Сибирь;Нет;Нет;
;Курган;Да;филармония;Илизаров;Зауралье;Урал;Тюмень, Екатеринбург, Челябинск;Нет;
;Курган;Да;елка;центр Илизарова;Зауралье;Урал;Екатеринбург;Нет;В 90-е
;Курган;Да;куница;пиво, Илизаров;Зауралье;Урал;Москва;Да;6-25 лет
;Курган;Да;2 холма;Илизаров;Зауралье;Урал;Тюмень;Нет;
;Курган;Да;памятник Ленину;танки;Зауралье;Урал;Тюмень, Челябинск;Нет;
;Курган;Да;площадь;центр Илизарова;затрудняется;Урал;Нет;Нет;
;Курган;Да;куница;Илизаров;Зауралье;Урал;Шадринск, Тюмень;Нет;
;Курган;Нет;Царево городище, 2 холма, возвышенность;Илизаров;Зауралье;Урал;Тюмень, Москва, Санкт-Петербург;Нет;
;Курган;Нет;куница;Илизаров;Зауралье;Урал;Тюмень, Екатеринбург, Самара;Нет;
;Курган;Да;памятники;киллер Солоник, Илизаров;Зауралье;Урал;Нет;Да;1-5 лет
;Курган;Да;2 холма;краеведческий музей, Невежин, шоссе Тюнина, центр Илизарова;Зауралье;Урал;Екатеринбург, Березники, Алматы, Астана, Караганда;Да;6-25 лет
;Курган;Да;2 холма;Илизаров, оборонка;Зауралье;Урал;Санкт-Петербург;Нет;
;Курган;Да;2 холма;центр Илизарова;Зауралье;Урал;Нет;Нет;Менее месяца
;Курган;Да;2 холма;СХ;Зауралье;Урал;Нет;Да;6-25 лет
;Курган;Да;герб, 2 холма;центр Илизарова, СХ, танки, КМЗ;Зауралье;Урал;Сочи, Санкт-Петербург, Кемер;Да;
;Курган;Да;2 холма;промышленность;Урал;Урал;Нет;Нет;
;Курган;Да;памятник Ленину;заводы, КМЗ, Илизаров;Зауралье;Урал;Казань, Тюмень;Нет;
;Курган;Да;2 холма;масло, заводы;Сибирь;Сибирь;Екатеринбург, Тюмень;Нет;
